NCESSCH,STUDENT_COUNT
10000200277,0.0
10000201667,0.0
10000201670,0.0
10000201705,0.0
10000201706,0.0
10000500870,0.0
10000500871,2740.0
10000500879,0.0
10000500889,0.0
10000501616,0.0
10000502150,0.0
10000600193,0.0
10000600872,564.0
10000600876,0.0
10000600877,0.0
10000600878,1202.0
10000600880,0.0
10000600883,912.0
10000600887,0.0
10000600986,0.0
10000600987,0.0
10000601413,0.0
10000601434,0.0
10000601585,682.0
10000601685,0.0
10000601812,0.0
10000602209,0.0
10000700091,0.0
10000700248,0.0
10000700251,5844.0
10000700337,6.0
10000700342,0.0
10000701422,0.0
10000701456,3278.0
10000701483,0.0
10000701738,0.0
10000701739,0.0
10000701740,0.0
10000701741,2.0
10000701742,0.0
10000701743,0.0
10000702091,0.0
10000702186,0.0
10000702359,0.0
10000800303,0.0
10000800495,0.0
10000800831,3556.0
10000800839,0.0
10000800851,0.0
10000801423,0.0
10000801485,0.0
10000801798,0.0
10000802097,0.0
10000802133,0.0
10000802198,3618.0
10000901403,0.0
10000901404,0.0
10000901405,0.0
10000901406,0.0
10001102094,0.0
10001102095,0.0
10001102096,972.0
10001102430,0.0
10001200123,0.0
10001200874,1304.0
10001200884,0.0
10001201630,0.0
10001201781,0.0
10001300714,0.0
10001301498,0.0
10001301682,2894.0
10001302401,0.0
10001302402,0.0
10001502121,0.0
10001502126,0.0
10001802104,0.0
10003000001,8.0
10003000003,1768.0
10003000004,0.0
10003000005,0.0
10003000006,0.0
10004101852,0.0
10004401855,0.0
10006000007,974.0
10006000008,0.0
10006001467,0.0
10009000011,1050.0
10009000017,0.0
10009000020,0.0
10009000021,0.0
10009001246,0.0
10009001725,2.0
10009001782,0.0
10010000022,0.0
10010000025,0.0
10010000027,0.0
10010000028,1564.0
10012000522,0.0
10012001471,0.0
10012001472,2010.0
10012001473,0.0
10012001474,0.0
10012001475,0.0
10012001758,0.0
10012002417,2118.0
10018000033,1348.0
10018000034,0.0
10018000035,0.0
10018500893,0.0
10018500952,0.0
10018502137,2104.0
10018802193,0.0
10018802194,518.0
10018902195,996.0
10018902196,0.0
10019001182,0.0
10019001183,3890.0
10019001184,0.0
10019001460,0.0
10019001815,0.0
10019002149,0.0
10019402395,0.0
10019402396,0.0
10019402398,0.0
10019402399,1928.0
10019502407,194.0
10019502424,0.0
10019702432,0.0
10021000036,3748.0
10021000037,1206.0
10021000039,0.0
10021000040,0.0
10021000041,0.0
10021000042,0.0
10021000053,0.0
10021001254,0.0
10021001259,0.0
10021001879,0.0
10021002363,0.0
10024000045,424.0
10024000046,1158.0
10024000047,0.0
10024000048,4042.0
10024000049,0.0
10024000050,0.0
10024000051,0.0
10024000543,0.0
10024000546,0.0
10024000587,0.0
10024000590,0.0
10024001408,184.0
10024001550,0.0
10024001639,0.0
10024002159,0.0
10027000012,0.0
10027000013,0.0
10027000023,0.0
10027000024,2636.0
10027000056,0.0
10027000057,0.0
10027000058,0.0
10027000059,0.0
10027000060,0.0
10027000062,0.0
10027000065,0.0
10027000066,0.0
10027000067,0.0
10027000068,0.0
10027000069,0.0
10027000070,0.0
10027000100,3314.0
10027000162,0.0
10027000549,0.0
10027000550,0.0
10027000625,0.0
10027000641,1682.0
10027000648,0.0
10027000660,0.0
10027000664,0.0
10027000665,0.0
10027001477,0.0
10027001708,0.0
10027001709,0.0
10027001710,0.0
10027001711,0.0
10027001712,0.0
10027001713,0.0
10027001714,0.0
10027001715,0.0
10027001716,0.0
10027001759,2562.0
10027001783,0.0
10027001784,3744.0
10027001810,2410.0
10027001859,0.0
10027001888,0.0
10027002072,0.0
10027002073,2220.0
10030000074,460.0
10030001478,0.0
10030001641,0.0
10033000082,0.0
10033000084,0.0
10033000086,0.0
10033000087,1990.0
10033000088,0.0
10033000090,0.0
10033001264,0.0
10033001267,0.0
10033001479,0.0
10036000092,1048.0
10036000094,0.0
10036000095,0.0
10036000096,0.0
10036000098,0.0
10036000099,926.0
10036000669,0.0
10036001426,0.0
10036001480,0.0
10039000073,0.0
10039000103,0.0
10039000106,0.0
10039000107,0.0
10039000108,0.0
10039000112,0.0
10039000113,0.0
10039000119,0.0
10039000127,0.0
10039000133,0.0
10039000136,0.0
10039000139,0.0
10039000140,0.0
10039000141,2820.0
10039000142,0.0
10039000156,0.0
10039000164,1780.0
10039000165,1536.0
10039000174,0.0
10039000175,0.0
10039000176,1598.0
10039000179,0.0
10039000184,0.0
10039000187,0.0
10039000190,0.0
10039000191,0.0
10039000192,1532.0
10039000196,0.0
10039000198,1612.0
10039000201,0.0
10039001288,0.0
10039001296,0.0
10039001421,0.0
10039001446,0.0
10039001468,1616.0
10039001484,0.0
10039001629,0.0
10039001649,0.0
10039001761,32.0
10039001762,0.0
10039001765,0.0
10039001823,0.0
10039001878,0.0
10039002185,0.0
10039002187,0.0
10039002204,0.0
10039002206,0.0
10039002354,0.0
10039002420,0.0
10042000101,0.0
10042000203,376.0
10042000205,0.0
10042000206,520.0
10042000207,0.0
10042000208,1394.0
10042000209,720.0
10042000210,690.0
10042000211,428.0
10042000213,802.0
10042000670,0.0
10042000676,0.0
10042000682,0.0
10042001427,0.0
10042001476,0.0
10042001481,0.0
10042001870,0.0
10045000214,0.0
10045000215,0.0
10045000216,724.0
10048000218,794.0
10048000221,0.0
10048000222,0.0
10048000688,0.0
10051000226,1314.0
10051000228,0.0
10051000229,224.0
10051000231,0.0
10051000690,0.0
10051001482,0.0
10051002144,300.0
10054000232,1192.0
10054000240,616.0
10054000242,0.0
10054000243,798.0
10054000244,0.0
10054000246,0.0
10054000247,748.0
10054000249,0.0
10054000250,854.0
10054000700,0.0
10054000708,0.0
10054001428,0.0
10054001429,0.0
10054001430,0.0
10054001488,696.0
10054001489,824.0
10054001747,0.0
10054001884,0.0
10060000256,0.0
10060000257,0.0
10060000259,0.0
10060000260,0.0
10060000263,490.0
10060000264,0.0
10060000268,0.0
10060000269,0.0
10060000271,1610.0
10060000272,0.0
10060000738,0.0
10063000274,440.0
10063000275,0.0
10063000276,0.0
10063000278,992.0
10063000279,260.0
10063000282,500.0
10063000283,394.0
10063000741,0.0
10066000261,428.0
10066000262,1304.0
10066000265,276.0
10066000270,470.0
10066000286,0.0
10066000287,0.0
10066000288,446.0
10066000745,0.0
10066000748,0.0
10066001431,0.0
10066001491,1660.0
10066001657,0.0
10066002190,0.0
10069000182,0.0
10069000291,466.0
10069000297,460.0
10069001561,0.0
10072000298,758.0
10072000302,0.0
10072000304,0.0
10072000305,0.0
10072000306,0.0
10072001450,0.0
10072001493,1120.0
10075000307,0.0
10075000312,0.0
10075002205,0.0
10075002210,1234.0
10078000317,0.0
10078000318,1030.0
10078000319,0.0
10078000320,0.0
10078000321,500.0
10078000768,0.0
10078001671,0.0
10078001726,0.0
10078002361,0.0
10081000323,336.0
10081000327,498.0
10081001494,516.0
10081001748,0.0
10084000331,0.0
10084000333,364.0
10084000334,562.0
10084000335,620.0
10084000336,0.0
10084000338,0.0
10084000341,0.0
10084001658,0.0
10087000344,0.0
10087000345,0.0
10087000347,0.0
10087000348,0.0
10087000350,0.0
10087001766,1102.0
10087002360,0.0
10090000798,0.0
10090001749,590.0
10090002074,0.0
10090002075,0.0
10093000280,0.0
10093000359,0.0
10093000360,282.0
10093000361,366.0
10093000362,316.0
10093000363,828.0
10093000364,0.0
10093001672,0.0
10093002167,0.0
10096000365,396.0
10096000367,488.0
10096000368,532.0
10096000801,0.0
10099000326,0.0
10099000369,0.0
10099000370,1790.0
10099000371,0.0
10099000372,0.0
10099001323,0.0
10099002089,0.0
10102000373,0.0
10102000374,576.0
10102000375,0.0
10102000377,1052.0
10102000379,926.0
10102000380,762.0
10102000381,692.0
10102000385,654.0
10102000386,0.0
10102000387,1180.0
10102000396,0.0
10102000400,0.0
10102000403,0.0
10102000413,0.0
10102000414,0.0
10102000420,0.0
10102000440,0.0
10102000446,0.0
10102000453,0.0
10102000458,0.0
10102000459,0.0
10102000803,0.0
10102001444,0.0
10102001497,90.0
10102001567,0.0
10102001676,0.0
10102001679,0.0
10102002132,0.0
10105000281,0.0
10105000388,444.0
10105000389,962.0
10105000390,546.0
10105000391,0.0
10105000392,0.0
10105000393,0.0
10108000394,630.0
10108001767,0.0
10111000395,0.0
10111000397,1006.0
10111000401,0.0
10111000402,382.0
10111000404,0.0
10111000406,706.0
10111000407,0.0
10111000408,0.0
10111000409,0.0
10111000814,0.0
10111000818,0.0
10111001785,0.0
10114000411,548.0
10114000412,0.0
10114000415,620.0
10114000416,700.0
10114000418,0.0
10114000419,440.0
10114000421,0.0
10114000422,772.0
10114000423,0.0
10114000424,742.0
10114000425,358.0
10114000819,0.0
10114000830,0.0
10114000832,0.0
10114001860,1172.0
10114002357,0.0
10117000081,0.0
10117000426,2894.0
10117000427,0.0
10117000428,0.0
10117000429,2070.0
10117000430,0.0
10117000431,0.0
10117000432,0.0
10117000433,0.0
10117000434,0.0
10117000435,0.0
10117000436,0.0
10117000437,0.0
10117000438,0.0
10117001615,0.0
10117001631,0.0
10117001728,0.0
10117001786,0.0
10117002090,0.0
10117002175,72.0
10120000148,1444.0
10120000439,0.0
10120000441,0.0
10120000442,0.0
10123000443,0.0
10123000444,0.0
10123000445,2374.0
10123000447,2.0
10123000448,0.0
10123000449,0.0
10123000450,0.0
10123000452,0.0
10123000454,0.0
10123000456,0.0
10123001349,0.0
10123001447,0.0
10123001448,0.0
10123001449,0.0
10123001499,0.0
10123001500,0.0
10123001501,2696.0
10123001817,0.0
10123001873,0.0
10126000460,0.0
10126000461,392.0
10126001354,0.0
10129000102,4.0
10129000463,990.0
10129000465,974.0
10129000468,2212.0
10129000470,0.0
10129000471,2350.0
10129000833,0.0
10129000834,0.0
10129001432,0.0
10129001451,0.0
10129001660,4.0
10129001768,0.0
10129001769,0.0
10129002142,0.0
10129002147,0.0
10132000474,0.0
10132000475,0.0
10132000476,4406.0
10132000478,0.0
10132000479,0.0
10132000480,0.0
10132000481,0.0
10132001719,0.0
10132001867,0.0
10135000482,0.0
10135000484,988.0
10135000485,0.0
10135000487,682.0
10135000488,0.0
10135000489,0.0
10135000492,814.0
10135000840,0.0
10135000841,0.0
10135001409,0.0
10135001504,0.0
10135001505,0.0
10135001506,0.0
10135001661,0.0
10138000493,0.0
10138000494,0.0
10138000496,456.0
10138000497,0.0
10138000498,686.0
10138000499,0.0
10138000500,0.0
10138000501,0.0
10138000502,0.0
10138000503,0.0
10138000505,1052.0
10138000506,1692.0
10138000507,538.0
10138000508,0.0
10138000509,0.0
10138000845,0.0
10138000849,0.0
10138000853,0.0
10138001507,0.0
10138001508,0.0
10138001509,0.0
10138001662,858.0
10138002351,0.0
10141000511,1982.0
10141000513,0.0
10141000514,0.0
10141001510,0.0
10141001874,0.0
10144000515,0.0
10144000516,1106.0
10144000518,0.0
10144000519,0.0
10144001361,0.0
10144001363,0.0
10147000521,352.0
10147000523,0.0
10147000525,250.0
10147001512,0.0
10147001514,0.0
10147001787,826.0
10153000528,2062.0
10153000531,724.0
10153000532,0.0
10153000534,0.0
10153000535,0.0
10153000536,0.0
10153001644,0.0
10153001663,0.0
10153001664,0.0
10156000538,1866.0
10156000539,0.0
10156001365,0.0
10156001750,0.0
10159000541,286.0
10159000542,44.0
10159000544,556.0
10159000545,482.0
